,Comment,Label
436,юля спасибо на самом деле меня очень путала эта подсказка про бунина и я не могла понять в каком направлении она поможет но завтра обязательно прочитаю эту рецензию и ещё подумаю над вторым вопросом,neautral
437,анастасия отлично давай,positive
438,у меня есть небольшая догадкав этой статье набоков цитирует строчки из бунина «…пойте пойте сверчки мои товарищи ночные…» «и зал плывет плывет в протяжных напевах счастья и тоски…» «звон бубенцов течет течет…» «от звезды к звезде шатался великой тростью зыбкий фок…» все эти строчки написаны ямбом но среди каждой из них есть одна стопа анапеста может набоков приводил именно эти строчки чтобы показать как надо писать смешивая анапест и ямб,neautral
439,анастасия найдите сами стихотворения и посмотрите на строки чтобы проверить свою теорию набоков мог цитировать и не по целым строкам,neautral
440,в строках ниже набоков вообще отзывается о всех писателях не очень хорошо говорит про слияние темы и ритма сравнивает бунина с тютчевым может само словосочетание бальмонтовский стих намекает на запинающийся анапест но я ничего общего не нашла может фраза бормотание советского пиита какимто образом намекает на ахматову но это притянутые за уши догадки в общем я запуталась когдато в громкие петербургские годы их заглушало блестящее бряцание модных лир но бесследно прошла эта поэтическая шумиха — развенчаны или забыты «слов кощунственные творцы» нам холодно от мертвых глыб брюсовских стихов нестройным кажется нам тот бальмонтовский стих что обманывал новой певучестью — и странным кажется что в те петербургские годы не всем был внятен не всякую душу изумлял голос поэта равного которому не было со времен тютчева полагаю что и ныне среди так называемой «читающей публики» — особенно в той части ее которая склонна видеть новое достижение в безграмотном бормотаньи советского пиита — стихи бунина не в чести или в лучшем случае рассматриваются как не совсем законная забава человека обреченного писать прозой легко громить стихотворца легко выуживать из его виршей смешные ошибки чудовищные ударенья дурные рифмы и еще есть трудности музыка и мысль в бунинских стихах настолько сливаются в одно что невозможно говорить отдельно о теме и о ритме,negative
441,анастасия ты запуталась в сложном слоге набокова в первом предложении самая главная мысль в общем не мучая более скажу что просто стихи бунина как раз нравятся набокову в частности изза того что у него везде ровный метр а вот новая поэзия представленная бальмонтом брюсовым ахматовой и другими современниками писателя ему не по духу изза смешивания метров,negative
442,юля всё настолько просто ахаха вот это я усложнила себе жизнь зато много нового узнала спасибо,positive
443,алёна рубанова,neautral
444,помоему тут пахнет белками,neautral
445,без гитары узнать сложно,neautral
446,все молодцы,positive
447,мне кажется что некто з рыжкова имеет к этой олимпиаде определённое отношение,neautral
448,где можно баллы посмотреть,negative
449,на каком сайте,neautral
450,а я хочу поздравить не только победителей но и всех участников столь увлекательного мероприятия с тем что вы узнали много нового и интересного с пользой провели время в кругу друзей до встречи в сезоне 🎉,neautral
451,а было ли разделение по классам,neautral
452,не было,negative
453,буржуазия пролетариат интеллигенция,neautral
454,г г при дальнейшем нагревании восстановившаяся медь реагирует с оставшимся оксидом чёрный цвет меняется на кирпичный,neautral
455,никита не точно не ответил на первый вопрос,negative
456,ильхам возможно г,neautral
457,г г образуется г,neautral
458,у меня вопрос а если ты ты стал победителем или призёром в отдельном направлении то ты получишь путёвку,neautral
459,кирилл да,neautral
460,кирилл да получишь,neautral
461,подскажите пожалуйста на олимпиаде нужно быть ровно в или можно подъехать позже главное до мы из другого города,neautral
462,анна если вы прошли онлайн регистрацию то вы можете подъехать чуть позже но в надо уже быть там,neautral
463,спасибо большое,positive
464,здравствуйте а у меня вопрос предварительная регистрация в онлайн виде не требуется что иметь при себе при регистрации завтра,neautral
465,алина если вы не хотите онлайн регистрацию то вы можете зарегестрироватся на месте но надо к быть там,neautral
466,кирилл хорошо при себе иметь только документы удостоверяющие личность,neautral
467,алина да документы лучше взять с собой,neautral
468,поздравляю лева,neautral
469,левты выбрал очень интересное направление развития поздравляем тебя пусть преграды на этом пути будут незаметными а рубежи значительным гордимся тобой,neautral
470,что ж спасибо диане и удачи льву,positive
471,андрей ☀️☀️☀️,neautral
472,лёва был ио начальника с,neautral
473,лёва поздравляю запрягай телегу,neautral
474,красавчик,neautral
475,поздравляю🌞,neautral
476,а в часов начинается сама олимпиада или будет регистрация как в прошлом году,neautral
477,дарья сама олимпиада начнется в часов,neautral
478,дарья регистрация онлайн,neautral
479,те если онлайн зарегистрировался то можно подъезжать к сколько по времени будет длиться олимпиада,neautral
480,лена если зарегистрировался нужно все равно пройти регистрацию очно просто она будет сильно короче так что быть нужно раньше основная часть олимпиады закончится в,neautral
481,спасибо,positive
482,делаю ставку на,neautral
483,совсем не,neautral
484,у меня есть ещё попытки,positive
485,мне кажется что да,neautral
486,хорошая ставка но неправильная,positive
487,или черт а хотелось поставить на год в который никто никогда не вернётся а на него уже поставили😐,negative
488,отличный был год,positive
489,в в школу первый раз приехал некто ламзин см фото а вот савватеев не приехал,negative
490,и снова мимо вместо алексея в году в клш приехало несколько центнеров крахмала все приехавшие центнеры а также соню и риту абановых можно обнаружить в этом видео,negative
491,☀️,neautral
492,настя ты очень симпатичная дело было действительно в году,neautral
493,саша абанов,neautral
494,мария тоже так думаю,neautral
495,¿,neautral
496,ну что ж угадать не получилось,neautral
497,я конечно не горбань но считаю необходимым зафиксировать что с моей точки зрения в этом интервью есть болееменее единственный правильный хороший тезис вот этот проблема не столько в том что едут от нас из германии тоже едут проблема в том что не едут к нам прочие комментарии оставлю при себе,neautral
498,я вижу что российское правительство действительно озабочено развитием науки тут мне смешно стало видимо саша несколько оторвался от российских реалий,neautral
499,предположим молодой ученый получил приглашение в принстон пусть он едет но пусть едет так чтобы он не потерял контакт с россией чтобы разрешенный в сша й триместр он провел в россии что значит пусть может молодой учёный сам решит где ему лучше проводить любой триместр,neautral
500,вопервых и математика тут согласна но вот греф говорит что не нужны нам математические школы это пережиток прошлого математики и программисты в будущем будут всё меньше и меньше востребованы и правительство рулит туда же,neautral
501,если бы поверил то я бы поехал вот именно 😄 будут в стране условия народ сам потянется безо всяких принуждений и понуканий,neautral
502,корень из гораздо лучше корня из,neautral
503,антон и тут чемпион,negative
504,и вот вам для уверенности фотография лучших выпускников лицея № г железногорска,positive
505,клш 😩😩😩,neautral
506,где можно посмотреть результаты этого мероприятия,negative
507,как то так если мне конечно не нужно было мат преобразовывать сумму вероятность того что встретятся хотя бы две единицы количеству способов с двумя и более единицамикол во всех способов кол во всех способов минус кол во способов где максимум одна единица подрядкол во всех способов кол во всех способов равно ∧ вероятность ∧ кол во способов где максимум единица подряд ∧ пусть число способов где мах единица найдем пусть единиц у нас штукнайдем число способов для единиц остальных цифр у нас обозначим остальные цифры за тогда мы ищем количество способов расставить единиц и нулей чтобы единицы не стояли подряд нули считаем неотличимыми потом просто домножим наше число способов с неотличимыми нулями на ∧заметим что между двумя единицами должен быть хотя бы ноль для такого расположения у нас должно быть хотя бы ноль если мы расставим эти нули между единицами то у нас останется нулей и несколько позиций между нулями сейчас наша конструкция ввглядит так лишние нули и вот такая позиция куда мы будем ставить наши нули в эту позицию между каждыми двумя единицами можно добавить ноль потому что нулей может быть любое количество при этом нам не важны перестановки нулей таким образом у нас есть лишних нулей которые мы ставим на позицию а кол во способов это сделать равно кол ву перестановок деталей типа и деталей второго типа что равно где это факториал теперь домножим величину на ∧ и это кол во способов расстановок чисел где единиц и нельзя поставить две единицы рядом для того чтобы посчитать это для всех количеств единиц нужно просуммировать на ∧ от до с округлением вверх при нечетном конечная формула для подсчета способов ∧∑∧∧ где сумма от до вверх пример работы формулы для ∧ ∧ при ∧ при ∧ при соответственно ∑ вероятность равна равно,negative
508,запись с факториалами может быть довольно нечитаемой поэтому я добавил скобки но это стало выглядеть еще более стремно,neautral
509,антон привет это уже хорошо но можно получить довольно лаконичный ответ без сумм,positive
510,нужно ли приобразовывать сумму,neautral
511,ну от всех сумм можно избавиться вот,neautral
512,найдем количество способов расставить цифры так чтобы не одной единицы не стояло рядом назовем количество способов для чисел заметим что рассмотрим пусть первой цифрой в последовательности будет тогда на вторую позицию вариантов а начиная с третьей позиции у нас та же последовательность только в ней цифры тогда число способов которые начинаются с равно если начинается не с единицы то первая позиция это вариантов а остаток это следовательно таких способов конечный ответ это ∧ ∧ где,negative
513,глянь как получается формула бине для чисел фибоначчи,neautral
514,буду операться на предыдущий мой комментарий сохранив обозначение пусть есть некоторая функция где а так же соответственно заметим что －это база докажем по индукции по что пусть все утверждения от до доказанны тогда вспомним что следовательно для любого натурального и нуля тоже найдем пусть это равно разности элемнтов геометрических прогрессий где каждое из двух удовлетворяет √ √ каждое из двух удовлетворяет следовательно и их разность домноженная на константу тоже теперь так как и и удовлетворяют одному и тому же уравнению для от и от то если первые два элемента равны то последовательности полностью совпадают при следовательно первые элементы равны теперь вторые при √с следовательно при с √ вторые элементы тоже совпадают и это значит что обе последовательности идентичны √ √√ из этого находим из этого находим конечную вероятность √ √√ √ √√,neautral
515,вот нормальная запись конечной формулы если поможет,neautral
516,корень из ста семнадцати — это сильно да,neautral
517,я подставлял энки ответ сходился,negative
518,окей а теперь я еще и написал прогу в которой сверил ответы формул они совпали,neautral
519,так антоны давайте уж какнибудь избавимся от корня из,neautral
520,кстати а до какого тебе удалось численно проверить и вообще показал бы прогу,neautral
521,она прост сверяет рекурсивную формулу с формулой с корнями при очень точном округлении корней,neautral
522,тоесть корни тоже плохо,negative
523,я хотя бы близко,neautral
524,да ну у тебя правильный ответ с корнями я проверил просто писать его в таком виде — преступление ты бы ещё двойку записал как корень из четырёх,negative
525,богиня ук рф и волейбольного мяча это ты я в сомнении,neautral
526,мария думаешь она,neautral
527,юрий это я по фразе вырастет такая крутая вожатая,positive
528,мария 🌚👍,neautral
529,настя муравьёва,neautral
530,кирилл мне кажется что ты мухлюешь,neautral
531,и кстати нет у меня шубка была черная,neautral
532,второй день заканчивается но дело не сходит с мертвой точки сделаем подсказку девушка в первый день клш на марафоне уделяла особое внимание шишкам😉 даём вам еще сутки подумать,neautral
533,оля бакурова,neautral
534,кто кроме белок ещё может любить шишки,neautral
535,таня догадалась первая и единственная,neautral
536,аааа только сейчас увидела такая милота,neautral
537,будущий покоритель молодых девичьих альфасердец,neautral
538,холода зима близко,neautral
539,ой помню наши баталии этой зимой только он без валенок был зато в распахнутой легкой курточке🧐,neautral
540,проще простого это садовский,neautral
541,адик,neautral
542,до чего узнаваемый взгляд кто бы мог подумать,neautral
543,ваня адо,neautral
544,артём так вот в чем тайна названия французского радио,neautral
545,от лица паблика заявляю что вопрос был слишком легким вы все оказались правы,neautral
546,ой,neautral
547,вообще если судить именно по этим фотографиям тезис о серьёзности и непосредственности не кажется таким уж бесспорным,neautral
548,а я и не знал что школьника тёму тоже в первый раз отправили в клш насильственно подкинем ему на радость щепотку ностальгии лет прошло,negative
549,лёха сам подумай какой умный человек поедет в школу в первый раз по доброй воле только в наказание,neautral
550,ну я добровольно поехал,neautral
551,какие мамонты из кустов вышли,neautral
552,лет назад для ки попасть в клш было круто брали не всех это был вызов обсудить с побывавшими там уже школьниками я не мог в силу отсутствия таковых знакомств вступительное мне вручила валентина калужская заведовавшая ноу при нашем дворце пионеров им комарова космонавта поскольку на краевой конференции этих самых ноу я занял всего лишь е место летнешкольные вербовщики вниманием меня обошли,neautral
553,и вступ я решал разумеется полностью помоему опции делать это только на избранный департамент тогда не было или меня это не интересовало зато моя анкета заинтересовала гиг и он взял меня в клубную гамму чем изрядно поменял мою жизнь,negative
554,а что быть умным — это круто я придумал сам побывав в м классе раза после чего анатомию человека сдал экстерном в сентябре в годовом табеле исчезли тройки да и четвёрки только две осталось русский и пение ога но тут и маменькина заслуга к двойкам она с пониманием относилась хотя и с разборками а вот за тройки чморила сурово в школу на вызовы же не ходила принципиально класса после го поведение с уд на хор сменилось только в м классе после калоши я внезапно легко стал общаться с учителями и по сю пору с нежностью всех вспоминаю и меня из г класса даже перекинули в а — была тогда такая цветовая дифференциация штанов и нагрузили периодическим проведением уроков биологии и географии для нашей и младшей параллели и только вернувшись из школы с удивлением осознал что моя новая классуха — бывшая летнешкольница лет на марго старше нас была а новая биологиня — вообще родня исаку а под новый год наша компания друзей по клш при моём активном участии но с подачи вовки лунина при поддержке гиг и благодаря кате ермаковой которую одну не отпускала мама осуществила массированный десант сибиряков в зпш но это уже другая история,negative
555,олег а в том самом десанте на зпш коллега катанаев участвовал,neautral
556,в том самом нет мы с камрадом отметились как преподы уже в,neautral
557,активная подготовка к сезону слава богу закончилась а началась насколько я могу судить подготовка к,neautral
558,плохо подготовились давай по новой,neautral
559,вейт а что случилось с полной версией,neautral
560,полная версия данного видео будет доступна при оформлении платной подписки клш,neautral
561,к оплате временно принимаются только шейкили,neautral
562,ахах,neautral
563,отлично😘,positive
564,там есть такое,neautral
565,наконецто все увидят нашу удивительную конструкцию для перегонки с паром,positive
566,самая модная дверь в клш 🌝,positive
567,не стесняйтесь отмечать себя и друзей,neautral
568,он у вас там всю школу то с мячом носится то спит,neautral
569,особенно мило выглядят кроссовочки,positive
570,то спит с мячом,neautral
571,не смогла найти нашу совместную фотку эхх😔,neautral
572,а музыка с побудок и лужайки будет,neautral
573,где и во сколько встречаемся для похода на столбы,negative
574,будет много материалов с сезона в том числе плейлисты муз лужаек и побудок материалы учебных занятий вк и киноклуба задачи дня задачи фмт,neautral
575,почему то затерялась замечательная работа семена дегтерева,neautral
576,и его же потрясающий фильм звёздные войны,neautral
577,я же не одна тут вижу сашко и григоряна,negative
578,это я а не сашко,negative
579,блин опять перепутала,neautral
580,кажется даню тихомирова снова забыли,neautral
581,а можно узнать кто есть кто в реальности,neautral
582,это рита,negative
583,а вот боря демешев,negative
584,ну да рита,neautral
585,они двойники,neautral
586,так вот какое это было слово,neautral
587,возьмите меня в команду😏 пж,positive
588,друзья очень вас ждём круто если соберётся сборная клш😄,positive
589,а если тебя зачислят в резерв то вообще есть шансы попасть в основную группу если есть то каким образом идёт зачисление,neautral
590,евгений шанс есть я сам в том году по резерву прошел просто пишешь ещё одно собеседование и если хорошо напишешь пройдешь😊,neautral
591,ну же,neautral
592,ну че там,neautral
593,эмм уже не смешно,neautral
594,мы же ждем напишите пожалуйста сразу о дополнительных испытаниях для тех кто не попал в основной список,negative
595,шо за прекол,positive
596,нет ну серьёзно мы же ждём может хотя бы перенесёте дату оглашения результатов потому что мы каждый день сюда заходим в надежде увидеть списки а в итоге ничего,negative
597,по сути всё правильно уже завтра все эти даты после апреля,neautral
598,таким образом они могут и в июне выставить,neautral
599,анастасия когда вступительные отправляла и спросила они ответили что в конце апреля начале мая результаты,neautral
600,анастасія ок спасибо будем надеяться что это произойдёт как можно скорее,positive
601,ожидания становятся невыносимыми,neautral
602,ребят на сайте вроде написано мая давайте будем немного терпеливее,neautral
603,уже завтра,positive
604,алло комунибудь уже пришло письмо,neautral
605,даша нет,neautral
606,мб вы просто,negative
607,не поступили,neautral
608,тимофей письма на элпочту в любом случае приходят,neautral
609,даже на сайте ничего нет они может ещё не проверили,negative
610,ника о ну тогда остаётся только ждать сейчас все еще мая,negative
611,тимофей тебе пришло,negative
612,анастасія нет,neautral
613,мне до сих пор ничего не пришло,negative
614,саша мне кажется что никому не пришло хотя не знаю,negative
615,пришло письмо боже мой руки от счастья трясутся,neautral
616,письмо получено осталось узнать какое направление,positive
617,ахах пошла сова письма разносить,neautral
618,ураааааа,neautral
619,проверяйте скорее почту,neautral
620,я поступил 🌚,neautral
621,еееееееее🎉,neautral
622,я с вами ура ❤❤❤,neautral
623,няяяяяя🤗❤️,neautral
624,а где можно общий список посмотреть,negative
625,а если не поступил то письмо не придёт,negative
626,александр скорее всего но я бы в список общий заглянула,neautral
627,полина а где он,negative
628,анна сама не могу найти нашла только резервный меня там нет приглашение вчера пришло хочу увидеть своими глазами что я в основном составе,neautral
629,полина а можно ссылку,positive
630,виктория,neautral
631,письмо в любом случаея думаюдолжно прийтина сайте написаноесли не пришло письмосвязаться по электронке,negative
632,спасибо я вроде уже разобралась,positive
633,чего учителя русского языка не знают о громких заголовках,neautral
634,а результататы олимпиады клш не будут учитываться при составлении итогового рейтинга,neautral
635,в форме регистрации на собеседование в пункте выбора приоритета направления цифра обозначает максимальное желание или минимальное,neautral
636,максимальное,neautral
637,клш когда примерно будут результаты по вступительным заданиям прошел не прошел,neautral
638,так то марта идёт всесибирская олимпиада по физике что делать этим ребятам,neautral
639,и ещё заключительная олимпиада итмо по математике,positive
640,а каким образом идёт отбор в клшэто сумарный результат по зимней олимпиадевступительные заданиясобеседованиепросто первый раз пробую попасть и не знаю как это работает,neautral
641,анастасія во второй половине апреля все получают свои результаты на элпочту,positive
642,добрый день а когда состоится собеседование в летнюю школу для класса,neautral
643,евгений отбор проходит раздельно по всем зачетам баллы будут суммироваться при выборе курсов уже в летней школе,positive
644,елена в клш участвуют школьники только после восьмого девятого или десятого классов,neautral
645,алина эти рейтинги не суммируются при поступлении,neautral
646,скажите пожалуйста а летняя смена когда обычно проходит,neautral
647,мария обычно с июля по августа скорее всего и этим летом так же,neautral
648,марина в отличии от клш олимпиада не сможет изменить жизнь научить чемуто привести новых друзей,neautral
649,андрей скажите пожалуйстаа что нужно взять на собеседование в какой форме оно проходит,neautral
650,на собеседовании вам помогут ручка и несколько листов бумаги школьники будут распределены по аудиториям в зависимости от направления там им будут выданы задачи по трем иногда четырем предметам беседа с принимающими происходит после решения задач,neautral
651,андрей ещё один вопроса сколько в целом длится это мероприятие,neautral
652,мария столько сколько вам нужно для качественного решения всех задач,negative
653,завтра отправим с утра,neautral
654,марта ещё можно присылать,positive
655,да когда перестанут принимать работы,neautral
656,ребяткуда сдавать работы,positive
657,марта уже поздно будет,neautral
658,марта уже поздно будет,neautral
659,во вступительных заданиях в самом начале подробно написано как оформлять и куда отправлять,neautral
660,отправили вчера работы по трем направлениям но забыли скопировать необходимые задания из направления нтн в нон сегодня послали задания по нон заново с задачами засчитаете климкина мария,neautral
661,можно обратно школьницей стать ас,negative
662,слабо светятся,neautral
663,крууууто раньше не замечал,neautral
664,очень продумано так зондерам будет легче находить школьников ночью,neautral
665,алина спасибо за подсказку если пойду ночью гулять обязательно его сниму😊,positive
666,алина нееее но это не точно,neautral
667,жаль что поучаствовать не смог но победителям мои поздравления,neautral
668,ееее молодцы,positive
669,сколько приглашений будет,neautral
670,егор все вышеуказанные получили,positive
671,александр а ну всё красава,neautral
672,отлично спасибо было очень весело я бойматов и юсуфджон,positive
673,¯ツ¯,neautral
674,клш ноя же,negative
675,макар котичек поздравляю,neautral
676,а если местозначит ли это что зачислен,neautral
677,евгений нет но вы получили повышенный рейтинг это даст дополнительные баллы к вступительным испытаниям присылайте решения вступительных заданий и приходите на собеседование 😉,neautral
678,клш надо быстрее садиться решать задачиа то не успею,neautral
679,спасибо,positive
680,а где и когда можно ознакомиться с результатами хотязачем это человеку что скорей всего болтается в конце списка🌝,negative
681,будут чуть позже,positive
682,почему такой снимок😳,neautral
683,никита спасибо обожаю тебя и зимние письма❤,positive
684,всем доброго времени суток был студентом клш в году сезон меня интересуют правила интеллектуального биатлона где можно ознакомиться,positive
685,ах мечта,neautral
686,умопомрачительно спасибо,positive
687,блокнот общественника возможно мой но надо внутри смотреть,neautral
688,красные и серые кроссовки точно никиты ниткина из омеги,neautral
689,если не найдутся хозяева претендую на шляпу и красные боксеры,neautral
690,возможно мой блокнот общественника и сандали чёрные точно мои гы,positive
691,а медиаторы от гитары не нашлись,neautral
692,а когда будет раздача дисков,neautral
693,эта шляпа была там ещё до того как мы заехали а вот блокнот точника возможно мой,negative
694,если серый квадрат при проверке окажется футболкой с длинным рукавом то он мой,neautral
695,а маникюрных ножниц не было,negative
696,полотенце мой брат забыл😒,neautral
697,а заучкам отвечать можно,neautral
698,вот это да 😃😊 семь лет прошло а я до сих пор помню этот мяч и падение в грязь 😃 спасибо всем было круто 🤗 команде альфа г всем привет и всем кто знает вратаря в красных грязных шортах привет,positive
699,нужно,neautral
700,знаю вратаря в красных грязных шортых,neautral
701,🙈,neautral
702,я примерно так реагировал когда вы с ритой на видео совершали какието совершенно не совместимые с жизнью кульбиты,negative
703,рустам пророк никита и так участвует во всех концертах,neautral
704,на полноту и непротиворечивость кажется у гёделя возникли вопросы,neautral
705,если и так то отвечать на них всё равно не ему придётся,neautral
706,🖤🖤🖤🔥,neautral
707,наконецто клш услышит хит про команду мю,neautral
708,❤🔥,neautral
709,шикарные,positive
710,мария ❤️,neautral
711,завистливо постукивая клюкой дааа в наше время таких фоточек не было ☝ клш еслифчо,neautral
712,пойду поплакаю снова по поводу тогочто я поступилано не поехалаа это был мой последний шанс попасть в клш нуссезон удался у вас на славу клш в моем сердечке хоть я ни разу не была там🙃,neautral
713,ботай блин,neautral
714,жизнь удалась,neautral
715,уиииии,neautral
716,теперь все,positive
717,лайф из пэйн😣,neautral
718,аня лайф из пэйн,neautral
719,я не понял нажимая на завтра в десять выходит ссылка на календарь с восьмым числом но сам текст про седьмое,neautral
720,стааааас ты лучший уху,positive
721,там возможность дышать горячая вода отсылочки,neautral
722,а как же повесь своё ухо внимания на гвоздь моего красноречия или это классика,neautral
723,ну или пойдём выйдем,neautral
724,— лупачи а лупачи о лупачи непереводимый фольклор непереводимыйфольклор,neautral
725,не еш подумой,neautral
726,спасибо филнапу я подсел на костюшкина,positive
727,спасибо всем за сезон ）,positive
728,залил слезами всё на свечке,positive
729,приезжайте на нтн,positive
730,вот тут более полная картина нтн,neautral
731,как это в следующем году а как же столбы,negative
732,не могу сказать что меня пугает перспектива вожатства с соней но както это всё неожиданно,neautral
733,если посмотреть на второе фото у тебя ещё много опций,neautral
734,ты б ещё взгляд в будущее сюда положил,positive
735,всем хорошего сезона,positive
736,ваня круууут,neautral
737,❤️💛💚💙💜❤️💛💚💙💜❤️💛💚💙💜,neautral
738,аве 😢,neautral
739,несчетное количество — это действительно очень много,neautral
740,хорошая затравочка на сезон прямо сам хочу на такие занятия,positive
741,никита ты не школьник,neautral
742,как будто зондеров ктото на пары не пускает они сами на них чет не ходят дня этак с третьего,neautral
743,если можно ходить то это же ваще тема,negative
744,да все вы так говорите сначала хехехехе,neautral
745,посмотрим еще чего сказали и что на деле,negative
746,гуманитариев захватили шарифуллины урра ❤,neautral
747,нон все больше походит на ндн для души нраица,positive
748,я ж любяя🖤,neautral
749,отличный художественный фильм про нашего героя,positive
750,а трактат ктото вон напел даже,neautral
751,немного красивых опытов с лазерной указкой,positive
752,и ещё — эксперимент юнга современная интерпретация внимание много английского,positive
753,виноват я плохо читаю,neautral
754,както кулуарно у вас собеседование прошло не то что в москве,negative
755,лидия это во многом зависит от количества желающих поэтому спрогнозировать сложно,neautral
756,добрый день а где пройдёт собеседование в москве,neautral
757,роман пока информация уточняется,neautral
758,товарищи насколько высока вероятность стать участником клш пройдя только собеседование,neautral
759,а если ты отправил задания тебе надо идти на собеседование,neautral
760,и когда будут известны результаты,neautral
761,саша собеседование и вступительные задания это два альтернативных способа попасть в клш если вы не вполне уверены в том что выполнили вступительные задания на сто из ста есть смысл сходить на собеседование в расчёт будет приниматься высший балл результаты зачисления будут известны в концы апреля и разосланы всем участникам отборочных испытаний электронной почтой,neautral
762,собеседование и задание оба учитываются в отборе возможно берётся лучший результат из двух,neautral
763,а что из себя представляет собеседование,neautral
764,саша вам будет предложен набор задач для решения по интересующему направлению по готовности решения обсуждаются с сотрудниками клш,positive
765,собеседование в случае неудачного прохождения ухудшает балл по заочному заданию,neautral
766,почитала внимательно предыдущие ответы что в зачет принимается высший балл,neautral
767,добрый день подскажите пожалуйста в какие сроки планируется клш,neautral
768,елена сезон пройдёт с июля по августа,neautral
769,спасибо,positive
770,а можно ли прийти на собеседованик если не проходил вступительные задания тк узнал о кшл пару дней назад,neautral
771,можно приходи,positive
772,собеседование во многом делается для тех кто слишком поздно узнал о клш иили не имел возможности написать вступительное задание,neautral
773,спасибо нужно ли чтото иметь при себе на собеседование какиелибо документы или же канцелярию,neautral
774,ручку и бумагу,neautral
775,спасибо что напомнили уже сажусь писать ответы на ваши коварные вопросы☝,positive
776,а когда будет известна дата собеседования,neautral
777,екатерина она известна выше объявление,neautral
778,браво,neautral
779,только я цепелева😁 а не чепелева😅,neautral
780,юлия старинная летнешкольная мудрость как зондера бегунок подпишут так сами же потом и прочитают🙈приносим извинения в базах у себя всё исправили,neautral
781,хэй 👀 исправьте фамилию пожалуйста я шубкина а не шубина,neautral
782,🙈👾👌,neautral
783,то чувство когда хочешь но не можешь,neautral
784,николь очень жаль мы были бы очень рады встрече,neautral
785,диана я тоже но увы😢😭,neautral
786,где можно узнать результаты,negative
787,евгений скороскоро опубликуем в группе,neautral
788,зеленогорск ничего себе,neautral
789,а почему же у детей гамоты без подписи и печати я мама участника этого биатлона парни заняли первое место,negative
790,лиза да приехало команды по одном в каждом зачёте и обе взяли по призовому месту🔥🔥🔥,neautral
791,татьяна ого я была уверена что расписалась везде где только возможно приношу свои извинения,negative
792,а во сколько будет биатлон,neautral
793,галина в регистрация в старт,neautral
794,чего то фот не густо 😕,negative
795,алексей фотографии размещены в альбоме,neautral
796,простите за недопонимание зачем отдельно материалы и на дисках и через сеть,neautral
797,по приколу диски память сеть для тех кому память не дошла,neautral
798,сергей в дополнение к никите на диски к сожалению вошло далеко не всё что достойно документирования и сохранения😉,neautral
799,а как можно получить диски тому кто живет не в красноярске,negative
800,анастасия свяжись с вожатыми они отправят,neautral
801,давайте выкладывать таки,neautral
802,тру,neautral
803,как круто жеж,positive
804,артём абанов и его бригада 😂😂😂,negative
805,нет ну я бы попросил,neautral
806,кстати что необычного есть на этой фото,neautral
807,андрей я знаю чего нет вредных уборщиц нет палатки ещё,neautral
808,андрей что из окна торчит,neautral
809,андрей карандаш внизу,neautral
810,новая беседка,neautral
811,и вот появился победитель,neautral
812,андрей я поступлю за это в клш,positive
813,ламзина здесь не хватает,neautral
814,мусорки справа на углу,neautral
815,садовского в шляпке ой манит начинаете ой уже охота в клш,neautral
816,меня,positive
817,не кого а чего всегда креативного расписания дня,negative
818,слева от входа стол стоял,neautral
819,адо есть борода,neautral
820,не вижу громкоговорителя,neautral
821,и стола для рации для вызова на арку,positive
822,вечные ценности,neautral
823,а на тех ступеньках будут ждать обеда порция голодных детей,neautral
824,никита главное чтобы руки мыли школьников вовремя,positive
825,а бумажные письма будут,neautral
826,галина зачисленным школьникам будут высланы бумажные письма с договорами,neautral
827,здравствуйте подскажите пожалуйста уже известны даты в которые будет проходить клш,negative
828,елена добрый день с высокой степенью вероятности с июля по августа,neautral
829,диана спасибо,positive
830,где можно будет посмотреть результаты зачисления,positive
831,может быть у ммш есть группа вконтакте,neautral
832,есть шанс попасть в ммш и клш не у красноярцев,neautral
833,ирина шанс есть если не сказать большего,neautral
834,а подробности,neautral
835,ирина приезжайте на собеседование проходите в клш по поводу ммш надо связаться с их организаторами,neautral
836,из новосибирска заочно никак,neautral
837,ирина к сожалению сроки подачи заочных вступительных заданий уже истекли,neautral
838,александр,neautral
839,диана спасибо за оперативные ответы ирина написала вам в личку про некрасноярских ммшкольников,positive
840,здравствуйте подскажите пожалуйста в этом посте информация о том что приглашаются учащиеся классов а на сайте клш приглашаются ученики классов,negative
841,оксана ммш и клш это две разные школы,neautral
842,а в москве собеседования не будет,neautral
843,с высокой степенью вероятности будет место и время пока уточняются 🐣,neautral
844,расписание олимпиады и предварительная регистрация на сайте — есть мнение чтотаки расписание собеседования а не олимпиады,neautral
845,владислав 😩 ну где ж ты был до этих репостов 🐣,neautral
846,лежал на печи ждал мудрецов,neautral
847,с собой решение филологической задачи на каком же острове с точки зрения правил русской грамматики пройдёт интенсивная работа над собой января нового года🤔🤔🤔,neautral
848,мы тут,negative
849,забавно что они в топ биотехнологических вузов записали дальрыбвтуз а двфу проигнорировали,neautral
850,в середине мата,neautral
851,ахаха из ста,neautral
852,сергей спасибо поправили,positive
853,а результаты гонки на выживание будут,neautral
854,а за место в общем зачете какая нибудь грамота вручается,neautral
855,сколько всего участников зарегистрировалось,neautral
856,красноярская летняя школа клш здравствуйте мне и я бы летом очень хотела попасть в вашу школу что для этого требуется,neautral
